Frequency_MHz,Amplitude_dBm
9.993299999999999406e-02,-6.139000000000000057e+01
4.330990000000000117e-01,-7.876999999999999602e+01
7.662649999999999739e-01,-8.159000000000000341e+01
1.099431000000000047e+00,-8.070000000000000284e+01
1.432596999999999898e+00,-8.001999999999999602e+01
1.765762999999999971e+00,-8.156999999999999318e+01
2.098929000000000045e+00,-8.101999999999999602e+01
2.432094999999999896e+00,-8.171999999999999886e+01
2.765261000000000191e+00,-8.298000000000000398e+01
3.098427000000000042e+00,-8.037000000000000455e+01
3.431592999999999893e+00,-8.059000000000000341e+01
3.764759000000000189e+00,-8.112000000000000455e+01
4.097925000000000040e+00,-7.845000000000000284e+01
4.431091000000000335e+00,-8.107999999999999829e+01
4.764256999999999742e+00,-7.906000000000000227e+01
5.097423000000000037e+00,-8.090000000000000568e+01
5.430589000000000333e+00,-7.976000000000000512e+01
5.763754999999999740e+00,-8.179999999999999716e+01
6.096921000000000035e+00,-8.084000000000000341e+01
6.430087000000000330e+00,-8.282999999999999829e+01
6.763252999999999737e+00,-8.146999999999999886e+01
7.096419000000000032e+00,-7.925000000000000000e+01
7.429585000000000328e+00,-8.234000000000000341e+01
7.762750999999999735e+00,-8.265999999999999659e+01
8.095917000000000030e+00,-7.987999999999999545e+01
8.429083000000000325e+00,-7.917000000000000171e+01
8.762249000000000621e+00,-7.993000000000000682e+01
9.095414999999999139e+00,-8.056000000000000227e+01
9.428580999999999435e+00,-8.026000000000000512e+01
9.761746999999999730e+00,-7.415999999999999659e+01
1.009491300000000003e+01,-8.212000000000000455e+01
1.042807900000000032e+01,-8.079999999999999716e+01
1.076124500000000062e+01,-7.925000000000000000e+01
1.109441099999999913e+01,-7.731000000000000227e+01
1.142757699999999943e+01,-8.095999999999999375e+01
1.176074299999999972e+01,-7.987000000000000455e+01
1.209390900000000002e+01,-7.993000000000000682e+01
1.242707500000000032e+01,-7.931999999999999318e+01
1.276024100000000061e+01,-7.943000000000000682e+01
1.309340699999999913e+01,-8.329999999999999716e+01
1.342657299999999942e+01,-8.095000000000000284e+01
1.375973899999999972e+01,-8.085999999999999943e+01
1.409290500000000002e+01,-8.035999999999999943e+01
1.442607100000000031e+01,-7.931999999999999318e+01
1.475923700000000061e+01,-7.471999999999999886e+01
1.509240299999999912e+01,-8.132999999999999829e+01
1.542556899999999942e+01,-8.010999999999999943e+01
1.575873499999999972e+01,-8.025000000000000000e+01
1.609190100000000001e+01,-8.039000000000000057e+01
1.642506699999999853e+01,-7.993000000000000682e+01
1.675823300000000060e+01,-7.856000000000000227e+01
1.709139899999999912e+01,-8.123999999999999488e+01
1.742456500000000119e+01,-7.868999999999999773e+01
1.775773099999999971e+01,-8.037999999999999545e+01
1.809089699999999823e+01,-8.003000000000000114e+01
1.842406300000000030e+01,-8.179999999999999716e+01
1.875722899999999882e+01,-8.351000000000000512e+01
1.909039500000000089e+01,-8.145999999999999375e+01
1.942356099999999941e+01,-8.014000000000000057e+01
1.975672700000000148e+01,-7.873999999999999488e+01
2.008989300000000000e+01,-7.973000000000000398e+01
2.042305899999999852e+01,-8.056000000000000227e+01
2.075622500000000059e+01,-7.937999999999999545e+01
2.108939099999999911e+01,-7.929999999999999716e+01
2.142255700000000118e+01,-7.979000000000000625e+01
2.175572299999999970e+01,-8.084000000000000341e+01
2.208888900000000177e+01,-7.806000000000000227e+01
2.242205500000000029e+01,-8.145999999999999375e+01
2.275522099999999881e+01,-7.862000000000000455e+01
2.308838700000000088e+01,-7.976000000000000512e+01
2.342155299999999940e+01,-7.975000000000000000e+01
2.375471900000000147e+01,-8.018000000000000682e+01
2.408788499999999999e+01,-8.296999999999999886e+01
2.442105099999999851e+01,-7.340999999999999659e+01
2.475421700000000058e+01,-4.570000000000000284e+00
2.508738299999999910e+01,-5.542999999999999972e+01
2.542054900000000117e+01,-7.918000000000000682e+01
2.575371499999999969e+01,-8.243999999999999773e+01
2.608688100000000176e+01,-7.884999999999999432e+01
2.642004700000000028e+01,-8.006000000000000227e+01
2.675321299999999880e+01,-8.043000000000000682e+01
2.708637900000000087e+01,-7.881999999999999318e+01
2.741954499999999939e+01,-8.284000000000000341e+01
2.775271100000000146e+01,-7.918000000000000682e+01
2.808587699999999998e+01,-7.734000000000000341e+01
2.841904299999999850e+01,-7.926000000000000512e+01
2.875220900000000057e+01,-7.973999999999999488e+01
2.908537499999999909e+01,-8.001000000000000512e+01
2.941854100000000116e+01,-8.075000000000000000e+01
2.975170699999999968e+01,-7.960999999999999943e+01
3.008487300000000175e+01,-8.045000000000000284e+01
3.041803900000000027e+01,-8.034000000000000341e+01
3.075120499999999879e+01,-8.173000000000000398e+01
3.108437100000000086e+01,-8.176999999999999602e+01
3.141753699999999938e+01,-8.160999999999999943e+01
3.175070300000000145e+01,-8.017000000000000171e+01
3.208386899999999997e+01,-7.901999999999999602e+01
3.241703499999999849e+01,-7.921999999999999886e+01
3.275020099999999701e+01,-8.117000000000000171e+01
3.308336700000000263e+01,-7.104000000000000625e+01
3.341653300000000115e+01,-7.948000000000000398e+01
3.374969899999999967e+01,-8.104999999999999716e+01
3.408286499999999819e+01,-8.209000000000000341e+01
3.441603099999999671e+01,-7.945000000000000284e+01
3.474919700000000233e+01,-7.265000000000000568e+01
3.508236300000000085e+01,-8.253000000000000114e+01
3.541552899999999937e+01,-8.125000000000000000e+01
3.574869499999999789e+01,-7.848000000000000398e+01
3.608186100000000351e+01,-7.789000000000000057e+01
3.641502700000000203e+01,-8.150000000000000000e+01
3.674819300000000055e+01,-7.868999999999999773e+01
3.708135899999999907e+01,-8.176000000000000512e+01
3.741452499999999759e+01,-8.081000000000000227e+01
3.774769100000000321e+01,-8.015000000000000568e+01
3.808085700000000173e+01,-8.034999999999999432e+01
3.841402300000000025e+01,-8.046999999999999886e+01
3.874718899999999877e+01,-8.118999999999999773e+01
3.908035499999999729e+01,-7.920999999999999375e+01
3.941352100000000291e+01,-8.101999999999999602e+01
3.974668700000000143e+01,-8.126000000000000512e+01
4.007985299999999995e+01,-8.171999999999999886e+01
4.041301899999999847e+01,-8.059000000000000341e+01
4.074618499999999699e+01,-7.896999999999999886e+01
4.107935100000000261e+01,-7.993000000000000682e+01
4.141251700000000113e+01,-8.204000000000000625e+01
4.174568299999999965e+01,-8.059000000000000341e+01
4.207884899999999817e+01,-8.068000000000000682e+01
4.241201499999999669e+01,-8.125000000000000000e+01
4.274518100000000231e+01,-8.020000000000000284e+01
4.307834700000000083e+01,-7.935999999999999943e+01
4.341151299999999935e+01,-8.056000000000000227e+01
4.374467899999999787e+01,-8.078000000000000114e+01
4.407784500000000349e+01,-8.156999999999999318e+01
4.441101100000000201e+01,-8.048999999999999488e+01
4.474417700000000053e+01,-7.784999999999999432e+01
4.507734299999999905e+01,-8.053000000000000114e+01
4.541050899999999757e+01,-8.123000000000000398e+01
4.574367500000000319e+01,-7.995999999999999375e+01
4.607684100000000171e+01,-7.951000000000000512e+01
4.641000700000000023e+01,-7.975000000000000000e+01
4.674317299999999875e+01,-7.898000000000000398e+01
4.707633899999999727e+01,-8.137000000000000455e+01
4.740950500000000289e+01,-7.859999999999999432e+01
4.774267100000000141e+01,-8.026000000000000512e+01
4.807583699999999993e+01,-7.929000000000000625e+01
4.840900299999999845e+01,-8.084000000000000341e+01
4.874216899999999697e+01,-8.112999999999999545e+01
4.907533500000000259e+01,-7.912000000000000455e+01
4.940850100000000111e+01,-8.089000000000000057e+01
4.974166699999999963e+01,-5.742000000000000171e+01
5.007483299999999815e+01,-7.948000000000000398e+01
5.040799899999999667e+01,-7.854999999999999716e+01
5.074116500000000229e+01,-8.164000000000000057e+01
5.107433100000000081e+01,-7.971999999999999886e+01
5.140749699999999933e+01,-7.975000000000000000e+01
5.174066299999999785e+01,-8.045999999999999375e+01
5.207382900000000348e+01,-7.829999999999999716e+01
5.240699500000000199e+01,-8.007999999999999829e+01
5.274016100000000051e+01,-8.195000000000000284e+01
5.307332699999999903e+01,-7.943999999999999773e+01
5.340649299999999755e+01,-7.887999999999999545e+01
5.373965900000000318e+01,-8.012999999999999545e+01
5.407282500000000169e+01,-7.778000000000000114e+01
5.440599100000000021e+01,-8.100000000000000000e+01
5.473915699999999873e+01,-8.050000000000000000e+01
5.507232299999999725e+01,-8.073999999999999488e+01
5.540548900000000287e+01,-8.028000000000000114e+01
5.573865500000000139e+01,-7.804000000000000625e+01
5.607182099999999991e+01,-7.964000000000000057e+01
5.640498699999999843e+01,-8.101999999999999602e+01
5.673815299999999695e+01,-8.173999999999999488e+01
5.707131900000000257e+01,-8.068999999999999773e+01
5.740448500000000109e+01,-8.035999999999999943e+01
5.773765099999999961e+01,-8.031999999999999318e+01
5.807081699999999813e+01,-8.026999999999999602e+01
5.840398299999999665e+01,-8.079000000000000625e+01
5.873714900000000227e+01,-8.123999999999999488e+01
5.907031500000000079e+01,-8.020999999999999375e+01
5.940348099999999931e+01,-7.968000000000000682e+01
5.973664699999999783e+01,-8.118000000000000682e+01
6.006981300000000346e+01,-8.100000000000000000e+01
6.040297900000000197e+01,-8.078000000000000114e+01
6.073614500000000049e+01,-8.018999999999999773e+01
6.106931099999999901e+01,-7.901000000000000512e+01
6.140247699999999753e+01,-8.195000000000000284e+01
6.173564300000000316e+01,-7.790000000000000568e+01
6.206880900000000167e+01,-8.114000000000000057e+01
6.240197500000000019e+01,-8.118000000000000682e+01
6.273514099999999871e+01,-8.032999999999999829e+01
6.306830699999999723e+01,-7.920999999999999375e+01
6.340147300000000286e+01,-8.065000000000000568e+01
6.373463900000000137e+01,-7.975000000000000000e+01
6.406780500000000700e+01,-8.057999999999999829e+01
6.440097099999999841e+01,-7.954999999999999716e+01
6.473413700000000404e+01,-8.118000000000000682e+01
6.506730299999999545e+01,-8.139000000000000057e+01
6.540046900000000107e+01,-7.906999999999999318e+01
6.573363500000000670e+01,-7.925000000000000000e+01
6.606680099999999811e+01,-8.106999999999999318e+01
6.639996700000000374e+01,-8.004999999999999716e+01
6.673313299999999515e+01,-8.150000000000000000e+01
6.706629900000000077e+01,-8.126999999999999602e+01
6.739946500000000640e+01,-8.154000000000000625e+01
6.773263099999999781e+01,-8.178000000000000114e+01
6.806579700000000344e+01,-7.950000000000000000e+01
6.839896299999999485e+01,-7.968999999999999773e+01
6.873212900000000047e+01,-7.920000000000000284e+01
6.906529500000000610e+01,-8.087000000000000455e+01
6.939846099999999751e+01,-8.092000000000000171e+01
6.973162700000000314e+01,-8.137000000000000455e+01
7.006479299999999455e+01,-7.868999999999999773e+01
7.039795900000000017e+01,-7.998999999999999488e+01
7.073112500000000580e+01,-8.109999999999999432e+01
7.106429099999999721e+01,-8.037999999999999545e+01
7.139745700000000284e+01,-8.043000000000000682e+01
7.173062299999999425e+01,-7.882999999999999829e+01
7.206378899999999987e+01,-8.068999999999999773e+01
7.239695500000000550e+01,-8.029999999999999716e+01
7.273012099999999691e+01,-7.993000000000000682e+01
7.306328700000000254e+01,-7.998999999999999488e+01
7.339645299999999395e+01,-8.153000000000000114e+01
7.372961899999999957e+01,-7.887000000000000455e+01
7.406278500000000520e+01,-8.034000000000000341e+01
7.439595099999999661e+01,-8.000000000000000000e+01
7.472911700000000224e+01,-1.499000000000000021e+01
7.506228299999999365e+01,-6.668999999999999773e+01
7.539544899999999927e+01,-8.048999999999999488e+01
7.572861500000000490e+01,-7.973000000000000398e+01
7.606178099999999631e+01,-8.118000000000000682e+01
7.639494700000000194e+01,-7.871999999999999886e+01
7.672811299999999335e+01,-7.979999999999999716e+01
7.706127899999999897e+01,-8.106999999999999318e+01
7.739444500000000460e+01,-7.782999999999999829e+01
7.772761099999999601e+01,-7.929000000000000625e+01
7.806077700000000164e+01,-8.093999999999999773e+01
7.839394299999999305e+01,-7.978000000000000114e+01
7.872710899999999867e+01,-8.173000000000000398e+01
7.906027500000000430e+01,-8.145000000000000284e+01
7.939344099999999571e+01,-8.060999999999999943e+01
7.972660700000000134e+01,-8.154999999999999716e+01
8.005977300000000696e+01,-8.068000000000000682e+01
8.039293899999999837e+01,-8.096999999999999886e+01
8.072610500000000400e+01,-8.087000000000000455e+01
8.105927099999999541e+01,-8.118000000000000682e+01
8.139243700000000104e+01,-8.151999999999999602e+01
8.172560300000000666e+01,-7.715000000000000568e+01
8.205876899999999807e+01,-8.029999999999999716e+01
8.239193500000000370e+01,-8.229000000000000625e+01
8.272510099999999511e+01,-8.093999999999999773e+01
8.305826700000000073e+01,-8.109999999999999432e+01
8.339143300000000636e+01,-7.968000000000000682e+01
8.372459899999999777e+01,-8.004000000000000625e+01
8.405776500000000340e+01,-8.054000000000000625e+01
8.439093099999999481e+01,-7.992000000000000171e+01
8.472409700000000043e+01,-7.845000000000000284e+01
8.505726300000000606e+01,-8.045000000000000284e+01
8.539042899999999747e+01,-8.028000000000000114e+01
8.572359500000000310e+01,-8.196999999999999886e+01
8.605676099999999451e+01,-7.826999999999999602e+01
8.638992700000000013e+01,-7.898000000000000398e+01
8.672309300000000576e+01,-8.165000000000000568e+01
8.705625899999999717e+01,-7.959000000000000341e+01
8.738942500000000280e+01,-8.115000000000000568e+01
8.772259099999999421e+01,-8.015999999999999659e+01
8.805575699999999983e+01,-7.948000000000000398e+01
8.838892300000000546e+01,-8.098999999999999488e+01
8.872208899999999687e+01,-7.960999999999999943e+01
8.905525500000000250e+01,-8.117000000000000171e+01
8.938842099999999391e+01,-7.764000000000000057e+01
8.972158699999999953e+01,-8.087000000000000455e+01
9.005475300000000516e+01,-7.990000000000000568e+01
9.038791899999999657e+01,-8.059999999999999432e+01
9.072108500000000220e+01,-7.857999999999999829e+01
9.105425099999999361e+01,-8.042000000000000171e+01
9.138741699999999923e+01,-7.895999999999999375e+01
9.172058300000000486e+01,-8.009000000000000341e+01
9.205374899999999627e+01,-8.014000000000000057e+01
9.238691500000000190e+01,-8.231000000000000227e+01
9.272008099999999331e+01,-8.232999999999999829e+01
9.305324699999999893e+01,-7.948999999999999488e+01
9.338641300000000456e+01,-8.045000000000000284e+01
9.371957899999999597e+01,-7.910999999999999943e+01
9.405274500000000160e+01,-7.929000000000000625e+01
9.438591099999999301e+01,-7.979000000000000625e+01
9.471907699999999863e+01,-7.951999999999999602e+01
9.505224300000000426e+01,-7.923999999999999488e+01
9.538540899999999567e+01,-7.862000000000000455e+01
9.571857500000000130e+01,-7.981999999999999318e+01
9.605174100000000692e+01,-8.059999999999999432e+01
9.638490699999999833e+01,-8.081999999999999318e+01
9.671807300000000396e+01,-8.087000000000000455e+01
9.705123899999999537e+01,-8.106999999999999318e+01
9.738440500000000100e+01,-8.151999999999999602e+01
9.771757100000000662e+01,-7.976000000000000512e+01
9.805073699999999803e+01,-8.029999999999999716e+01
9.838390300000000366e+01,-8.057999999999999829e+01
9.871706899999999507e+01,-8.120000000000000284e+01
9.905023500000000070e+01,-8.251999999999999602e+01
9.938340100000000632e+01,-8.007999999999999829e+01
9.971656699999999773e+01,-5.350999999999999801e+01
