Frequency_MHz,Amplitude_dBm
1.000497330000000034e+02,-8.142000000000000171e+01
1.003828989999999948e+02,-8.118999999999999773e+01
1.007160650000000004e+02,-8.154999999999999716e+01
1.010492310000000060e+02,-8.065000000000000568e+01
1.013823969999999974e+02,-8.020000000000000284e+01
1.017155630000000031e+02,-8.257999999999999829e+01
1.020487289999999945e+02,-8.031999999999999318e+01
1.023818950000000001e+02,-8.120999999999999375e+01
1.027150610000000057e+02,-8.068000000000000682e+01
1.030482269999999971e+02,-7.942000000000000171e+01
1.033813930000000028e+02,-8.178000000000000114e+01
1.037145589999999942e+02,-7.915999999999999659e+01
1.040477249999999998e+02,-8.154999999999999716e+01
1.043808910000000054e+02,-8.157999999999999829e+01
1.047140569999999968e+02,-8.167000000000000171e+01
1.050472230000000025e+02,-7.920999999999999375e+01
1.053803889999999939e+02,-7.990000000000000568e+01
1.057135549999999995e+02,-7.904999999999999716e+01
1.060467210000000051e+02,-8.181999999999999318e+01
1.063798869999999965e+02,-8.109999999999999432e+01
1.067130530000000022e+02,-7.953000000000000114e+01
1.070462189999999936e+02,-8.123000000000000398e+01
1.073793849999999992e+02,-8.087000000000000455e+01
1.077125510000000048e+02,-7.876000000000000512e+01
1.080457169999999962e+02,-8.076999999999999602e+01
1.083788830000000019e+02,-8.048999999999999488e+01
1.087120489999999933e+02,-8.025000000000000000e+01
1.090452149999999989e+02,-7.934000000000000341e+01
1.093783810000000045e+02,-8.190999999999999659e+01
1.097115469999999959e+02,-8.046999999999999886e+01
1.100447130000000016e+02,-8.031999999999999318e+01
1.103778789999999930e+02,-8.076999999999999602e+01
1.107110449999999986e+02,-8.212000000000000455e+01
1.110442110000000042e+02,-8.151000000000000512e+01
1.113773769999999956e+02,-7.798999999999999488e+01
1.117105430000000013e+02,-8.075000000000000000e+01
1.120437090000000069e+02,-8.084999999999999432e+01
1.123768749999999983e+02,-8.048999999999999488e+01
1.127100410000000039e+02,-8.098000000000000398e+01
1.130432069999999953e+02,-8.081000000000000227e+01
1.133763730000000010e+02,-8.056999999999999318e+01
1.137095390000000066e+02,-8.015999999999999659e+01
1.140427049999999980e+02,-7.989000000000000057e+01
1.143758710000000036e+02,-7.903000000000000114e+01
1.147090369999999950e+02,-8.078000000000000114e+01
1.150422030000000007e+02,-8.237000000000000455e+01
1.153753690000000063e+02,-8.067000000000000171e+01
1.157085349999999977e+02,-7.937999999999999545e+01
1.160417010000000033e+02,-8.009000000000000341e+01
1.163748669999999947e+02,-8.170999999999999375e+01
1.167080330000000004e+02,-7.903000000000000114e+01
1.170411990000000060e+02,-8.142000000000000171e+01
1.173743649999999974e+02,-7.879000000000000625e+01
1.177075310000000030e+02,-8.042000000000000171e+01
1.180406969999999944e+02,-7.904999999999999716e+01
1.183738630000000001e+02,-8.154999999999999716e+01
1.187070290000000057e+02,-8.012999999999999545e+01
1.190401949999999971e+02,-8.034000000000000341e+01
1.193733610000000027e+02,-7.996999999999999886e+01
1.197065269999999941e+02,-8.060999999999999943e+01
1.200396929999999998e+02,-8.193999999999999773e+01
1.203728590000000054e+02,-7.993999999999999773e+01
1.207060249999999968e+02,-8.098999999999999488e+01
1.210391910000000024e+02,-8.093000000000000682e+01
1.213723569999999938e+02,-8.087999999999999545e+01
1.217055229999999995e+02,-7.890000000000000568e+01
1.220386890000000051e+02,-8.031999999999999318e+01
1.223718549999999965e+02,-7.940000000000000568e+01
1.227050210000000021e+02,-8.048999999999999488e+01
1.230381869999999935e+02,-7.870000000000000284e+01
1.233713529999999992e+02,-7.859999999999999432e+01
1.237045190000000048e+02,-7.875000000000000000e+01
1.240376849999999962e+02,-8.146999999999999886e+01
1.243708510000000018e+02,-8.053000000000000114e+01
1.247040169999999932e+02,-2.050000000000000000e+01
1.250371829999999989e+02,-3.210000000000000142e+01
1.253703490000000045e+02,-7.967000000000000171e+01
1.257035149999999959e+02,-8.245999999999999375e+01
1.260366810000000015e+02,-7.787000000000000455e+01
1.263698469999999929e+02,-8.084999999999999432e+01
1.267030129999999986e+02,-7.926000000000000512e+01
1.270361790000000042e+02,-8.095999999999999375e+01
1.273693449999999956e+02,-8.121999999999999886e+01
1.277025110000000012e+02,-8.037999999999999545e+01
1.280356769999999926e+02,-8.051999999999999602e+01
1.283688429999999983e+02,-8.170000000000000284e+01
1.287020090000000039e+02,-7.909999999999999432e+01
1.290351750000000095e+02,-8.132999999999999829e+01
1.293683409999999867e+02,-7.998999999999999488e+01
1.297015069999999923e+02,-7.853000000000000114e+01
1.300346729999999980e+02,-7.906999999999999318e+01
1.303678390000000036e+02,-7.998999999999999488e+01
1.307010050000000092e+02,-7.900000000000000000e+01
1.310341709999999864e+02,-7.931000000000000227e+01
1.313673369999999920e+02,-8.084999999999999432e+01
1.317005029999999977e+02,-8.021999999999999886e+01
1.320336690000000033e+02,-8.021999999999999886e+01
1.323668350000000089e+02,-8.098999999999999488e+01
1.327000009999999861e+02,-8.004000000000000625e+01
1.330331669999999917e+02,-8.118999999999999773e+01
1.333663329999999974e+02,-8.042000000000000171e+01
1.336994990000000030e+02,-8.176999999999999602e+01
1.340326650000000086e+02,-7.981000000000000227e+01
1.343658309999999858e+02,-8.151000000000000512e+01
1.346989969999999914e+02,-8.006999999999999318e+01
1.350321629999999971e+02,-7.989000000000000057e+01
1.353653290000000027e+02,-7.973999999999999488e+01
1.356984950000000083e+02,-7.907999999999999829e+01
1.360316610000000139e+02,-8.109999999999999432e+01
1.363648269999999911e+02,-7.982999999999999829e+01
1.366979929999999968e+02,-8.207999999999999829e+01
1.370311590000000024e+02,-8.020999999999999375e+01
1.373643250000000080e+02,-7.832999999999999829e+01
1.376974910000000136e+02,-8.143999999999999773e+01
1.380306569999999908e+02,-8.268000000000000682e+01
1.383638229999999965e+02,-7.939000000000000057e+01
1.386969890000000021e+02,-8.014000000000000057e+01
1.390301550000000077e+02,-8.095000000000000284e+01
1.393633210000000133e+02,-8.023000000000000398e+01
1.396964869999999905e+02,-7.976000000000000512e+01
1.400296529999999962e+02,-8.068000000000000682e+01
1.403628190000000018e+02,-8.220999999999999375e+01
1.406959850000000074e+02,-7.879999999999999716e+01
1.410291510000000130e+02,-7.962000000000000455e+01
1.413623169999999902e+02,-7.967000000000000171e+01
1.416954829999999959e+02,-8.120000000000000284e+01
1.420286490000000015e+02,-8.095000000000000284e+01
1.423618150000000071e+02,-8.039000000000000057e+01
1.426949810000000127e+02,-8.101999999999999602e+01
1.430281469999999899e+02,-8.017000000000000171e+01
1.433613129999999956e+02,-8.079000000000000625e+01
1.436944790000000012e+02,-8.034999999999999432e+01
1.440276450000000068e+02,-8.132999999999999829e+01
1.443608110000000124e+02,-8.079000000000000625e+01
1.446939769999999896e+02,-8.065999999999999659e+01
1.450271429999999953e+02,-8.057999999999999829e+01
1.453603090000000009e+02,-8.231999999999999318e+01
1.456934750000000065e+02,-7.865999999999999659e+01
1.460266410000000121e+02,-7.932999999999999829e+01
1.463598069999999893e+02,-7.998000000000000398e+01
1.466929729999999950e+02,-8.095999999999999375e+01
1.470261390000000006e+02,-8.037000000000000455e+01
1.473593050000000062e+02,-8.090000000000000568e+01
1.476924710000000118e+02,-8.115000000000000568e+01
1.480256369999999890e+02,-8.229000000000000625e+01
1.483588029999999947e+02,-8.304999999999999716e+01
1.486919690000000003e+02,-7.993999999999999773e+01
1.490251350000000059e+02,-8.059999999999999432e+01
1.493583010000000115e+02,-8.017000000000000171e+01
1.496914669999999887e+02,-5.143999999999999773e+01
1.500246329999999944e+02,-5.118999999999999773e+01
1.503577990000000000e+02,-7.951999999999999602e+01
1.506909650000000056e+02,-8.073999999999999488e+01
1.510241310000000112e+02,-7.948999999999999488e+01
1.513572969999999884e+02,-8.137000000000000455e+01
1.516904629999999941e+02,-8.134000000000000341e+01
1.520236289999999997e+02,-7.962999999999999545e+01
1.523567950000000053e+02,-8.106999999999999318e+01
1.526899610000000109e+02,-8.175000000000000000e+01
1.530231269999999881e+02,-7.945999999999999375e+01
1.533562929999999938e+02,-8.190999999999999659e+01
1.536894589999999994e+02,-8.131000000000000227e+01
1.540226250000000050e+02,-7.989000000000000057e+01
1.543557910000000106e+02,-8.195000000000000284e+01
1.546889569999999878e+02,-7.934999999999999432e+01
1.550221229999999935e+02,-7.814000000000000057e+01
1.553552889999999991e+02,-8.093999999999999773e+01
1.556884550000000047e+02,-8.007999999999999829e+01
1.560216210000000103e+02,-8.004000000000000625e+01
1.563547869999999875e+02,-8.159000000000000341e+01
1.566879529999999932e+02,-8.037000000000000455e+01
1.570211189999999988e+02,-8.064000000000000057e+01
1.573542850000000044e+02,-8.017000000000000171e+01
1.576874510000000100e+02,-8.184999999999999432e+01
1.580206169999999872e+02,-8.093999999999999773e+01
1.583537829999999929e+02,-8.154999999999999716e+01
1.586869489999999985e+02,-7.979999999999999716e+01
1.590201150000000041e+02,-8.270000000000000284e+01
1.593532810000000097e+02,-8.170000000000000284e+01
1.596864469999999869e+02,-8.168999999999999773e+01
1.600196129999999926e+02,-7.953000000000000114e+01
1.603527789999999982e+02,-8.234999999999999432e+01
1.606859450000000038e+02,-8.090999999999999659e+01
1.610191110000000094e+02,-7.926999999999999602e+01
1.613522769999999866e+02,-8.103000000000000114e+01
1.616854429999999923e+02,-8.187999999999999545e+01
1.620186089999999979e+02,-8.062000000000000455e+01
1.623517750000000035e+02,-8.084999999999999432e+01
1.626849410000000091e+02,-8.062999999999999545e+01
1.630181069999999863e+02,-8.109999999999999432e+01
1.633512729999999920e+02,-8.293999999999999773e+01
1.636844389999999976e+02,-8.056999999999999318e+01
1.640176050000000032e+02,-8.073000000000000398e+01
1.643507710000000088e+02,-8.173000000000000398e+01
1.646839369999999860e+02,-7.943000000000000682e+01
1.650171029999999917e+02,-8.084999999999999432e+01
1.653502689999999973e+02,-7.995000000000000284e+01
1.656834350000000029e+02,-7.942000000000000171e+01
1.660166010000000085e+02,-8.226999999999999602e+01
1.663497670000000141e+02,-7.320999999999999375e+01
1.666829329999999914e+02,-7.153000000000000114e+01
1.670160989999999970e+02,-8.176999999999999602e+01
1.673492650000000026e+02,-7.932999999999999829e+01
1.676824310000000082e+02,-7.901000000000000512e+01
1.680155970000000138e+02,-8.159000000000000341e+01
1.683487629999999911e+02,-7.845999999999999375e+01
1.686819289999999967e+02,-7.950000000000000000e+01
1.690150950000000023e+02,-8.064000000000000057e+01
1.693482610000000079e+02,-7.814000000000000057e+01
1.696814270000000135e+02,-8.250000000000000000e+01
1.700145929999999908e+02,-8.146999999999999886e+01
1.703477589999999964e+02,-8.228000000000000114e+01
1.706809250000000020e+02,-8.143999999999999773e+01
1.710140910000000076e+02,-8.212000000000000455e+01
1.713472570000000132e+02,-7.915000000000000568e+01
1.716804229999999905e+02,-8.068999999999999773e+01
1.720135889999999961e+02,-7.960999999999999943e+01
1.723467550000000017e+02,-8.026999999999999602e+01
1.726799210000000073e+02,-8.232999999999999829e+01
1.730130870000000129e+02,-8.243000000000000682e+01
1.733462529999999902e+02,-8.126999999999999602e+01
1.736794189999999958e+02,-7.657999999999999829e+01
1.740125850000000014e+02,-7.910999999999999943e+01
1.743457510000000070e+02,-7.970999999999999375e+01
1.746789170000000126e+02,-3.995000000000000284e+01
1.750120829999999899e+02,-2.389000000000000057e+01
1.753452489999999955e+02,-8.017000000000000171e+01
1.756784150000000011e+02,-8.118999999999999773e+01
1.760115810000000067e+02,-8.212999999999999545e+01
1.763447470000000123e+02,-8.106000000000000227e+01
1.766779129999999896e+02,-7.868999999999999773e+01
1.770110789999999952e+02,-8.087999999999999545e+01
1.773442450000000008e+02,-8.089000000000000057e+01
1.776774110000000064e+02,-7.825000000000000000e+01
1.780105770000000120e+02,-8.064000000000000057e+01
1.783437429999999893e+02,-8.142000000000000171e+01
1.786769089999999949e+02,-8.007999999999999829e+01
1.790100750000000005e+02,-7.978000000000000114e+01
1.793432410000000061e+02,-8.009000000000000341e+01
1.796764070000000117e+02,-8.201000000000000512e+01
1.800095729999999890e+02,-8.043000000000000682e+01
1.803427389999999946e+02,-8.131999999999999318e+01
1.806759050000000002e+02,-8.031000000000000227e+01
1.810090710000000058e+02,-7.998999999999999488e+01
1.813422370000000114e+02,-7.984000000000000341e+01
1.816754029999999887e+02,-7.890999999999999659e+01
1.820085689999999943e+02,-8.151000000000000512e+01
1.823417349999999999e+02,-8.171999999999999886e+01
1.826749010000000055e+02,-7.917000000000000171e+01
1.830080670000000111e+02,-7.909000000000000341e+01
1.833412329999999884e+02,-8.064000000000000057e+01
1.836743989999999940e+02,-8.135999999999999943e+01
1.840075649999999996e+02,-8.148000000000000398e+01
1.843407310000000052e+02,-8.123999999999999488e+01
1.846738970000000108e+02,-8.009999999999999432e+01
1.850070629999999881e+02,-8.098999999999999488e+01
1.853402289999999937e+02,-7.948999999999999488e+01
1.856733949999999993e+02,-8.118999999999999773e+01
1.860065610000000049e+02,-8.009000000000000341e+01
1.863397270000000105e+02,-8.103000000000000114e+01
1.866728929999999878e+02,-8.045000000000000284e+01
1.870060589999999934e+02,-7.860999999999999943e+01
1.873392249999999990e+02,-8.118000000000000682e+01
1.876723910000000046e+02,-8.087000000000000455e+01
1.880055570000000102e+02,-7.831999999999999318e+01
1.883387229999999875e+02,-8.137000000000000455e+01
1.886718889999999931e+02,-8.159000000000000341e+01
1.890050549999999987e+02,-8.067000000000000171e+01
1.893382210000000043e+02,-8.120000000000000284e+01
1.896713870000000099e+02,-8.182999999999999829e+01
1.900045529999999872e+02,-8.046999999999999886e+01
1.903377189999999928e+02,-7.906999999999999318e+01
1.906708849999999984e+02,-8.075000000000000000e+01
1.910040510000000040e+02,-8.084000000000000341e+01
1.913372170000000096e+02,-8.220999999999999375e+01
1.916703829999999869e+02,-8.201000000000000512e+01
1.920035489999999925e+02,-8.045000000000000284e+01
1.923367149999999981e+02,-8.062000000000000455e+01
1.926698810000000037e+02,-8.148000000000000398e+01
1.930030470000000093e+02,-7.962000000000000455e+01
1.933362129999999866e+02,-8.056999999999999318e+01
1.936693789999999922e+02,-8.265999999999999659e+01
1.940025449999999978e+02,-7.976000000000000512e+01
1.943357110000000034e+02,-8.140000000000000568e+01
1.946688770000000090e+02,-8.042000000000000171e+01
1.950020429999999863e+02,-8.178000000000000114e+01
1.953352089999999919e+02,-7.956999999999999318e+01
1.956683749999999975e+02,-7.914000000000000057e+01
1.960015410000000031e+02,-8.028000000000000114e+01
1.963347070000000087e+02,-7.942000000000000171e+01
1.966678729999999860e+02,-8.037000000000000455e+01
1.970010389999999916e+02,-8.095999999999999375e+01
1.973342049999999972e+02,-7.998999999999999488e+01
1.976673710000000028e+02,-7.957999999999999829e+01
1.980005370000000084e+02,-8.026999999999999602e+01
1.983337030000000141e+02,-8.173999999999999488e+01
1.986668689999999913e+02,-8.104000000000000625e+01
1.990000349999999969e+02,-7.931999999999999318e+01
1.993332010000000025e+02,-7.993999999999999773e+01
1.996663670000000081e+02,-8.068000000000000682e+01
1.999995330000000138e+02,-4.928000000000000114e+01
